model,group,f1_mean,f1_std,her_mean,her_std
llama-3.2-3b,A,0.7143,0.0104,0.1992,0.0119
llama-3.2-3b,B1,0.6742,0.0125,0.1826,0.0152
llama-3.2-3b,B2,0.6308,0.027,0.2666,0.0344
llama-3.2-3b,C,0.6581,0.0187,0.1653,0.0151
llama-8b,A,0.6549,0.0146,0.0981,0.0056
Llama-8b,B1,0.6048,0.0205,0.1134,0.0121
Llama-8b,B2,0.5767,0.0176,0.152,0.0142
llama-8b,C,0.6559,0.0173,0.0985,0.0077
qwen-2.5-7b,A,0.7155,0.0498,0.1015,0.0221
qwen-2.5-7b,B1,0.5549,0.0278,0.0931,0.0123
qwen-2.5-7b,B2,0.5113,0.0213,0.0939,0.0122
qwen-2.5-7b,C,0.644,0.106,0.1072,0.0217
qwen-1.5b,A,0.4095,0.0252,0.154,0.0462
qwen-1.5b,B1,0.3207,0.0089,0.1454,0.013
qwen-1.5b,B2,0.3116,0.0071,0.1787,0.0129
qwen-1.5b,C,0.3652,0.0114,0.1444,0.0156
