model,group,f1_mean,f1_std
qwen-1.5b,A,0.08010779808778168,0.012759827875308445
qwen-1.5b,B1,0.059411028758749464,0.003680592665311539
qwen-1.5b,B2,0.04766029707908066,0.006188084870919009
qwen-1.5b,C,0.03970345539337366,0.0014800636852078958
llama-3.2-3b,A,0.07822374348348235,0.009878735879704847
llama-3.2-3b,B1,0.058826191434633426,0.0025385801869245253
llama-3.2-3b,B2,0.054075456356234994,0.0014730502750365752
llama-3.2-3b,C,0.056326697179697384,0.0002891232668403038
qwen-2.5-7b,A,0.11660700118398207,0.009763019835575803
qwen-2.5-7b,B1,0.0865886068279719,0.018831349939744405
qwen-2.5-7b,B2,0.06116906081340856,0.0018908205685632573
qwen-2.5-7b,C,0.0616564806193509,0.0023241859424753502
llama-8b,A,0.0465287257252046,0.0021198350208824
llama-8b,B1,0.0438185961108286,0.0003252611565594
llama-8b,B2,0.0403949096763666,0.0008655442998521
llama-8b,C,0.0427281627821527,0.0010779671939885
